"Entidade";"Número/Ano Obra";"Número/Ano Intervenção";"Nome Empresa";"CPF/CNPJ";"Valor Total";"Descrição";"Data de Cadastro";"Data de Início";"Previsão Conclusão";"Percentual Conclusão (%)";"Situação"
"MUNICÍPIO DE CASCAVEL";"22 / 2023";"22 / 2023";"COBREBEM CONSTRUTORA DE OBRAS LTDA";"04.537.626/0001-92";"162105.0000";"CP 17/2023 -Execução de alargamento da ponte da Estrada Espigão Azul - Planaltina";"28/07/2023";"28/07/2023";"25/10/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"19 / 2023";"19 / 2023";"CONSTRUTORA VALE OESTE LTDA; CONSTRUTORA VALE OESTE LTDA";"09.346.676/0001-06; 09.346.676/0001-06";"981437.0700";"CP 4-2023 - REFORMA DA UNIDADE DE SAÚDE DA FAMÍLIA DO DISTRITO DE SEDE ALVORADA";"16/06/2023";"16/06/2023";"13/10/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"25 / 2023";"25 / 2023";"PETROCON CONSTRUTORA DE OBRAS LTDA; PETROCON CONSTRUTORA DE OBRAS LTDA";"80.337.868/0001-10; 80.337.868/0001-10";"51227130.7100";"CP 09/2023 - REVITALIZAÇÃO DA AVENIDA CARLOS GOMES E ENTORNO COM IMPLANTAÇÃO DE BINÁRIO";"11/08/2023";"01/09/2023";"23/11/2024";"28.54";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"23 / 2023";"23 / 2023";"ARCIMOL- PRÉ MOLDADOS E CONSTRUTORA DE OBRAS LTDA; ARCIMOL- PRÉ MOLDADOS E CONSTRUTORA DE OBRAS LTDA";"76.443.340/0001-59; 76.443.340/0001-59";"4197251.7500";"CP 06/2023 - Execução de cobertura metálica dos boxes no Autódromo Internacional Zilmar Beux";"31/07/2023";"31/07/2023";"27/12/2023";"80.68";"Paralisada/Suspensa"
"MUNICÍPIO DE CASCAVEL";"30 / 2023";"30 / 2023";"CONSTRUTORA IRMÃOS GODOY LTDA";"14.969.322/0001-58";"4065782.5800";"CP 22-2023 - CONSTRUÇÃO DA UNIDADE DE SAÚDE DA FAMÍLIA SANTA FELICIDADE";"06/12/2023";"27/12/2023";"25/12/2024";"31.54";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"27 / 2023";"27 / 2023";"CONSTRUTORA DANILO BANDEIRA LTDA";"10.684.046/0001-20";"6200000.0000";"CP 11-2023 - REFORMA DA ESCOLA MUNICIPAL FRANCISCO VAZ DE LIMA";"02/10/2023";"01/11/2023";"30/10/2024";"52.83";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"19 / 2022";"19 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"6992.6200";"TP 9-2021 (LOTE 18) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"COMPANHIA MUNICIPAL DE HABITACÃO DE CASCAVEL - COHAVEL";"1 / 2020";"1 / 2020";"";"";"0";"CONSTRUÇÃO DE 15 UNIDADES HABITACIONAIS";"20/08/2020";"20/08/2020";"17/11/2020";"0";"Em Andamento"
"COMPANHIA MUNICIPAL DE HABITACÃO DE CASCAVEL - COHAVEL";"2 / 2020";"2 / 2020";"";"";"0";"EXECUÇÃO DE OBRA DE AMPLIAÇÃO DE RSI";"02/12/2020";"30/07/2020";"25/01/2021";"0";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"25 / 2021";"25 / 2021";"MILANO JUNIOR CONSTRUTORA LTDA";"04.698.472/0001-10";"328027.9718";"TP 11-2021 - PISO E ALAMBRADO DE QUADRA DA ESCOLA ARTHUR O. MOMBACH";"21/12/2021";"21/12/2021";"19/04/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"4 / 2022";"4 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"23320.3500";"TP 9-2021 (LOTE 03) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"90.73";"Concluída"
"MUNICÍPIO DE CASCAVEL";"49 / 2020";"49 / 2020";"CS ENGENHARIA LTDA; CS ENGENHARIA LTDA";"04.484.402/0001-60; 04.484.402/0001-60";"5284353.7500";"CP 7-2020 (LOTE 01) - PAVIMENTAÇÃO DE VIAS URBANAS - VÁRIOS BAIRROS";"16/07/2020";"16/07/2020";"11/04/2021";"100";"Concluída"
"COMPANHIA MUNICIPAL DE HABITACÃO DE CASCAVEL - COHAVEL";"3 / 2023";"23 / 2023";"";"";"0";"PAVIMENTAÇÃO / DRENAGEM";"30/06/2023";"30/06/2023";"30/12/2023";"0";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"23 / 2022";"23 / 2022";"LM PROJETOS E EXECUÇÃO LTDA; LM PROJETOS E EXECUÇÃO LTDA";"01.289.860/0001-50; 01.289.860/0001-50";"737962.6900";"TP 12-2022 - REFORMA E AMPLIAÇÃO DA USF PERIOLO";"15/03/2022";"15/03/2022";"10/09/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"1 / 2022";"1 / 2022";"CPD CONSTRUCOES LTDA; CPD CONSTRUCOES LTDA";"09.245.810/0001-82; 09.245.810/0001-82";"5494695.2000";"CP 14-2021 - EXECUÇÃO DE REMANESCENTE ESCOLA NOSSA SENHORA DA SALETE";"07/03/2022";"07/03/2022";"31/12/2022";"99.47";"Concluída"
"MUNICÍPIO DE CASCAVEL";"14 / 2022";"14 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"12446.6200";"TP 9-2021 (LOTE 13) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"25 / 2022";"25 / 2022";"PRADO & PRADO LTDA; PRADO & PRADO LTDA";"23.153.183/0001-80; 23.153.183/0001-80";"2402701.6700";"TP 10-2021 - EXECUÇÃO DO CENTRO DE TREINAMENTO DE BOLÃO E BOCHA";"30/03/2022";"30/03/2022";"24/11/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"28 / 2022";"28 / 2022";"CONSTRUTORA RAMBO LTDA; CONSTRUTORA RAMBO LTDA";"04.660.450/0001-61; 04.660.450/0001-61";"452016.3300";"TP 1-2022 (LOTE 01) - CONSTRUÇÃO DO POLO TÊXTIL NO TERMINAL NORDESTE";"20/05/2022";"20/05/2022";"16/09/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"35 / 2022";"35 / 2022";"GRUPO ROMA ENGENHARIA LTDA";"39.371.850/0001-31";"791204.2500";"TP 3-2022 - REFORMA DO PAÇO MUNICIPAL";"21/06/2022";"21/06/2022";"18/10/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"32 / 2022";"32 / 2022";"LM PROJETOS E EXECUÇÃO LTDA; LM PROJETOS E EXECUÇÃO LTDA";"01.289.860/0001-50; 01.289.860/0001-50";"2671584.7800";"TP 5-2022 - REFORMA DO TERMINAL DE TRANSBORDO URBANO SUL";"15/06/2022";"15/06/2022";"11/12/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"36 / 2022";"36 / 2022";"FARPA ARQUITETURA E ENGENHARIA LTDA; FARPA ARQUITETURA E ENGENHARIA LTDA";"17.819.140/0001-99; 17.819.140/0001-99";"933159.4700";"TP 7-2022 - AMPLIAÇÃO E REFORMA DO CREAS OESTE";"23/06/2022";"23/06/2022";"20/10/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"17 / 2021";"17 / 2021";"IMPONENCE CONSTRUTORA E INCORPORADORA LTDA; IMPONENCE CONSTRUTORA E INCORPORADORA LTDA";"04.379.027/0001-98; 04.379.027/0001-98";"4058727.2700";"CP 5-2021 - CONSTRUÇÃO DO CENTRO MUNICIPAL PROF. BERTOLINO TENFEN (CEMEI SIENA)";"20/09/2021";"20/09/2021";"16/07/2022";"100";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"27 / 2022";"27 / 2022";"LM PROJETOS E EXECUÇÃO LTDA; LM PROJETOS E EXECUÇÃO LTDA";"01.289.860/0001-50; 01.289.860/0001-50";"4150959.0300";"CP 5-2022 - REFORMA DA ESCOLA MUNICIPAL MARIA TEREZA ABREU DE FIQUEIREDO";"18/05/2022";"18/05/2022";"13/03/2023";"100";"Concluída"
"FUNDACAO MUNICIPAL DE ESPORTE E CULTURA DO MUNICIPIO DE CASCAVEL - FMEC";"1 / 2022";"1 / 2022";"ROEGELIN MONTAGEM DE ESTRUTURAS METALICAS LTDA";"37.250.921/0001-12";"55670.0400";"estrutura metálica";"08/02/2022";"08/02/2022";"08/03/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"2 / 2022";"2 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"4263.4200";"TP 9-2021 (LOTE 01) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"8 / 2022";"8 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"7257.0200";"TP 9-2021 (LOTE 07) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"3 / 2022";"3 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"5600.0000";"TP 9-2021 (LOTE 02) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"28 / 2023";"28 / 2023";"ABEL SGARIONI ENGENHARIA E CONSTRUÇÃO CIVIL LTDA";"07.993.729/0001-55";"4749775.8200";"CP 25-2022 - REFORMA DA ESCOLA MUNICIAPL ALOYS JOÃO MANN";"02/10/2023";"01/11/2023";"30/10/2024";"81.81";"Em Andamento"
"MUNICÍPIO DE CASCAVEL";"33 / 2023";"33 / 2023";"HANSEN, BELLEI & MELO LTDA";"28.014.669/0001-51";"1587982.5700";"CP 27-2023 - PAVIMENTAÇÃO DE CONCRETO DE ELETROTERMINAL DE ÔNIBUS - LOTE 2";"20/12/2023";"28/12/2023";"26/03/2024";"100";"Concluída"
